House Description,Price,Bedrooms,Bathrooms,Full Baths,Square Footage,Acres,Year Built,Type,Sub-Type,Style,Address,Area,Community,Condo,City,County,Province,Postal Code,Features,Parking Spaces,Parking,Is Waterfront,Has Pool,Interior,Interior Features,Heating,Fireplace,# of Stories,Has Basement,Basement,Separate Entrance,Exterior,Exterior Features,Construction,Foundation,Elementary,Middle,High,Foreclosure,RE / Bank Owned,Office,Bedrooms Above Grade,# of Garages,Garages,Half Baths,Fireplaces,Zoning,Lot Description,HOA Fees,HOA Fees Freq.,Condo Fee
"Location! Location! Right in the Heart of Queen Alexandra just Blocks off Whyte Ave. Attention Investors, Builders, and Developers this is RA7 Zone property. This property is suitable for a New Build, Condo, Attached housing or Apartment. This property may be Sold as a part of a Package with the adjoining 10457-77 Ave. Buy and Hold. Buy and Rent. Buy and Develop!","$399,999",3,1.00,1,886,0.10,1945,Single Family,Residential Detached Single Family,Raised Bungalow,10453 77 Avenue Nw,Edmonton,Queen Alexandra,,Edmonton,ALBERTA,AB,T6E 1M8,Hot Water Natural Gas,6,"2 Outdoor Stalls, RV Parking",No,No,Vinyl Plank,"Refrigerator, Stove-Electric",Forced Air-1,No,2,Yes,"Full, Partly Finished",Yes,Stucco,"Back Lane, Flat Site, Level Land, Paved Lane, Playground Nearby, Public Swimming Pool, Public Transportation, Schools, Shopping Nearby",Wood Frame,Concrete,,,,No,No,Courtesy Of Gil Whyte Of RE/MAX Elite,3,,,,,,,,,
"GREAT VALUE in Glenwood! Bungalow with large number of upgrades! KITCHEN 2020, BATHROOM RENO 2017, VINYL WINDOWS upstairs approx. 2014, recent SHINGLES on house approx. 2015 and garage 2020, NEW PLUMBING STACK 2017, ELECTRICAL PANEL upgraded, and rear/north side FENCE new in 2021. Inside, the living room features large windows and well-maintained laminate flooring. Bright and cheerful kitchen, with beautiful shaker cabinets, crisp subway tile backsplash and a gas stove! The wide entry to the kitchen creates an open concept feel. Down the hall you’ll find two bright bedrooms, the primary with built-in closet unit and small bonus space. Could consider adding a walk-in closet or perhaps an ensuite! Also on the main floor is a stylishly renovated 4pc bath! Updated electrical panel downstairs, and the beginnings of basement development. Separate entrance to bsmt! Oversized single garage and large yard with back gate for RV storage. Located on a dead-end street, this home boasts value and loads of potential!","$300,000",2,1.00,1,980,0.17,1956,Single Family,Residential Detached Single Family,Bungalow,9938 157 Street Nw,Edmonton,Glenwood,,Edmonton,ALBERTA,AB,T5P 2T6,"Deck, No Animal Home, No Smoking Home, R.V. Storage, Vinyl Windows",,"Over Sized, Single Garage Detached, RV Parking",No,No,"Ceramic Tile, Laminate Flooring","Dryer, Garage Control, Garage Opener, Hood Fan, Refrigerator, Stove-Gas, Washer, Garage heater, Curtains and Blinds, Fan-Ceiling",Forced Air-1,No,1,Yes,"Full, Unfinished",Yes,Stucco,"Back Lane, Playground Nearby, Public Transportation, Schools, Shopping Nearby, Paved Lane",Wood Frame,Concrete,Aleda Patterson/Alex Janv.,Alex Janvier,Jasper Place,No,No,Courtesy Of Rob DeJong Of Schmidt Realty Group Inc,2,1,,,,,,,,
"FULLY FINISHED BUNGALOW! DOUBLE GARAGE! COVERED BREEZE WAY!!! This 3+1 bedroom, 2 bathroom, FULLY FINISHED with over 1800+ Sqft of developed living space, bungalow home with DOUBLE GARAGE is perfect for large or growing families. Enjoy a large living room, kitchen at the heart of the home with an adjacent dining room. Huge Primary bedroom plus two other generously sized bedrooms and 4 piece bathroom finishes the main level. Separate entrance to FULLY FINISHED BASEMENT comes with 4th & 5th bedroom, full bathroom, laundry room, rough-in plumbing and electrical for SECOND KITCHEN. Several upgrades over the years include, new laminate flooring throughout, AIR-CONDITIONING, shingles, New windows, Furnace and Hot Water tank. Located in the desirable community GLENGARRY close to schools, parks, public transportation & many other major amenities. Quick Access on 82 street to 137 Ave or Yellowhead Trail. This location can't be beat.","$305,000",5,2.00,2,"1,078",0.15,1964,Single Family,Residential Detached Single Family,Bungalow,8207 135a Avenue Nw,Edmonton,Glengarry,,Edmonton,ALBERTA,AB,T5E 1R4,Air Conditioner,,Double Garage Detached,No,No,"Ceramic Tile, Laminate Flooring","Dryer, Refrigerator, Stove-Electric, Washer",Forced Air-1,No,2,Yes,"Full, Fully Finished",No,Stucco,Flat Site,Wood Frame,Concrete,,,,No,No,Courtesy Of Syndon Brown Of MaxWell Challenge Realty,3,2,,,,,,,,
"Welcome to this beautiful, fully RENOVATED home in Kirkness. This 4-level split is tucked away on a quiet cul-de-sac, and with near 2000 SF of living space there is more than enough room to entertain your family or guests. The kitchen features new cabinets, stainless steel appliances and a double-tiered island. Retreat to the primary bedroom on the upper level, complete with a walk-in closet and a private 3pc ensuite. The second and third bedrooms, along with a 4pc bathroom, complete the upstairs. The lower level features a cozy family room with a fireplace, the fourth bedroom, and another 4pc bathroom. The basement includes a versatile rec room that could also serve as a fifth bedroom. Take full advantage of the Edmonton summers on the expansive deck off the kitchen - perfect for hosting guests. The kids will love the large backyard. New HWT and shingles in 2016. Conveniently located with easy access to Anthony Henday and Manning Drive. Close to all amenities!","$397,000",4,3.00,3,"1,255",0.00,1990,Single Family,Residential Detached Single Family,4 Level Split,3535 147a Avenue Nw,Edmonton,Kirkness,,Edmonton,ALBERTA,AB,T5Y 2N6,Deck,,"Double Garage Attached, Parking Pad Cement or Paved",No,No,"Ceramic Tile, Laminate Flooring","Dishwasher-Built-In, Dryer, Microwave Hood Cover, Refrigerator, Storage Shed, Stove-Electric, Washer",Forced Air-1,Yes,4,Yes,"Full, Fully Finished",No,Vinyl,"Fenced, Landscaped, Playground Nearby, Schools, Shopping Nearby, Cul-De-Sac, Flat Site",Wood Frame,Concrete,,,,No,No,Courtesy Of Sam Deol Of Exp Realty,3,2,,,"Mantel, Wood, Tile Surround",,,,,
"This home is a fantastic opportunity for a first time buyer or investor located in the quiet neighborhood of Newton. This 1160+ sq/ft Bungalow features 3 bedrooms on the main floor with a full bath and a fully finished basement with 2 more bedrooms, a 3-piece bath, living room. The back yard is spacious and well cared for, fully fenced with a double detached garage, additional parking space and back alley access. Located close to all amenities and has easy access to the yellow head and the Anthony Henday.","$299,980",3,2.00,2,"1,167",0.00,1967,Single Family,Residential Detached Single Family,Bungalow,12319 51 Street Nw,Edmonton,Newton,,Edmonton,ALBERTA,AB,T5W 3H4,See Remarks,,Double Garage Detached,No,No,"Carpet, Linoleum","Garage Control, Garage Opener, Hood Fan, Refrigerator, Stove-Electric, See Remarks",Forced Air-1,No,2,Yes,"Full, Fully Finished",No,Stucco,"Fenced, Landscaped, Park/Reserve, Playground Nearby, Public Swimming Pool, Public Transportation, Schools, Shopping Nearby, See Remarks",Wood Frame,Concrete,,,,No,No,Courtesy Of Wally Karout Of Royal Lepage Arteam Realty,3,2,,,,,,,,
"Sitting on an enormous 69' x 93' corner lot with service road in front this large bungalow with 2 kitchens has so much potential, it is ready for your personal decorating touch! The main floor has a large L shaped living room, country kitchen and 3 bedrooms. Downstairs, the basement has a 4th bedroom, living room plus second kitchen and a laundry area at the foot of the stairs. Separate entrance allows the option to convert to a legal suite. Other updates over the years include, shingles (approx 9 years ago) and furnace. The double garage is oversized (25x20) with ample parking off the street as well. Bus stop is steps away and not too far from the new LRT line, excellent for post secondary students. Easy access to downtown, Sherwood Park and the Gretzky Freeway. Great home to call yours in very popular Holyrood!","$374,800",4,2.00,2,"1,444",0.14,1957,Single Family,Residential Detached Single Family,Bungalow,9504 75 Street Nw,Edmonton,Holyrood,,Edmonton,ALBERTA,AB,T6C 2H9,"Laundry-In-Suite, Patio",4,Double Garage Detached,No,No,"Ceramic Tile, Laminate Flooring","Dishwasher-Built-In, Dryer, Garage Control, Garage Opener, Washer, Refrigerators-Two, Stoves-Two",Forced Air-1,No,2,Yes,"Full, Fully Finished",Yes,Stucco,"Back Lane, Corner, Fenced, Flat Site, Landscaped, Public Transportation, Schools, Shopping Nearby",Wood Frame,Concrete,,,,No,No,Courtesy Of Jason Thomas Of Royal Lepage Summit Realty,3,2,25x20,,,,,,,
"This charming bungalow is perfect for your growing family. Step inside to find a cozy 4 bedrooms, 2 bathrooms, modern kitchen and newly painted house. The Fully finished basement adds extra living space. Conveniently situated steps away from M.E. Lazerte & Steele Heights schools and short walking distance from the Londonderry mall, you'll have everything you need within reach. Currently undergoing renovations throughout the house, this wonderful property will soon be ready for its new owner. All this home is YOU!","$329,900",4,2.00,2,985,0.14,1967,Single Family,Residential Detached Single Family,Bungalow,6208 144 Avenue Nw,Edmonton,Mcleod,,Edmonton,ALBERTA,AB,T5A 1K9,See Remarks,,Double Garage Detached,No,No,Laminate Flooring,"Dishwasher-Built-In, Dryer, Garage Control, Garage Opener, Refrigerator, Stove-Electric, Washer",Forced Air-1,No,2,Yes,"Full, Fully Finished",No,Vinyl,"Back Lane, Corner, Fenced, Playground Nearby, Public Transportation, Schools, Shopping Nearby",Wood Frame,Concrete,MCLEOD SCHOOL (K-6),STEELE HEIGHTS (7-9),M.E. LAZERTE (10-12),No,No,Courtesy Of David St. Jean Of RE/MAX River City,,2,,,,,,,,
"Fantastic location overlooking the river valley and Rundle Park. This 1142 sq ft bungalow features 3 bedrooms 1.5 bath, an open concept layout, double detached garage that is heated and insulated as well as RV parking. The main floor has a large living room with space for your home entertainment system. The kitchen has been updated with modern cabinets and lighting, a corner pantry, large island with lots of storage and an open layout overlooking the Livingroom and dining room. Down the hall you will find 3 good sized bedrooms and a 4pc bathroom. The primary bedroom also has a 2pc en-suite bathroom. The basement is open and unfinished but has a great layout for future development. The large back yard has a great patio area and lots of room for the kids to play. With this house comes a lifestyle with access to Edmonton's amazing river valley and all the amenities of Rundle Park. Move in and start living!","$339,900",3,2.00,1,"1,142",0.00,1970,Single Family,Residential Detached Single Family,Bungalow,10832 30 Street Nw,Edmonton,Rundle Heights,,Edmonton,ALBERTA,AB,T5W 1V8,"Detectors Smoke, No Smoking Home",4,"Double Garage Detached, Heated, RV Parking",No,No,"Ceramic Tile, Laminate Flooring","Dishwasher-Built-In, Dryer, Garage Control, Garage Opener, Hood Fan, Refrigerator, Stove-Electric, Washer, Window Coverings",Forced Air-1,No,1,Yes,"Full, Unfinished",No,"Brick, Stucco, Vinyl","Back Lane, Fenced, Landscaped, Schools, Park/Reserve, River Valley View",Wood Frame,Concrete,,,,No,No,Courtesy Of Stewart Kuzyk Of RE/MAX Real Estate,3,2,,1,,,,,,
"Greenfield 4 level split. The original family home for over 40 years, fully finished basement with 2 bedrooms, 4 pce bathroom and large family room with wet bar. The floor plan is perfect for a growing family with a sunny South facing large backyard with sun deck and beautiful water fountain. The double garage is insulated, heated and with 220 wiring for welder and air compressor. Upgrades to the house include newer energy efficient vinyl windows and ceramic flooring. Located close to Southgate mall, LRT, schools and Leisure centre makes this house excellent value.","$369,000",4,2.00,1,"1,040",0.00,1965,Single Family,Residential Detached Single Family,4 Level Split,11107 40 Ave Nw,Edmonton,Greenfield,,Edmonton,ALBERTA,AB,T6J 0P9,"Deck, See Remarks",,"Double Garage Detached, Heated",No,No,"Carpet, Carpet Over Hardwood, Linoleum","Dishwasher-Built-In, Dryer, Stove-Electric, Washer",Forced Air-1,No,4,Yes,"Full, Fully Finished",No,Stucco,"Public Transportation, Schools, See Remarks",Wood Frame,Concrete,,,,No,No,Courtesy Of Todd Bradley Of Royal Lepage Arteam Realty,2,2,,1,,,,,,
"Attention Investors and Developers. This Raised Bungalow in sought after Queen Alexandra is perfect for an Rental, and Development Site. It is zoned RA7 and the neighboring properties 10460-76 Ave. and 10464-76 Ave are also available. There are two Bedrooms up and Laundry on the main floor. A Separate Entrance to down where you have 2 Bedrooms, Family room, Kitchen and 3 piece bathroom.","$399,999",4,2.00,2,828,0.10,1960,Single Family,Residential Detached Single Family,Raised Bungalow,10456 76 Avenue Nw,Edmonton,Queen Alexandra,,Edmonton,ALBERTA,AB,T6E 1L1,Laundry-Same Floor,2,"2 Outdoor Stalls, Rear Drive Access",No,No,"Carpet, Linoleum","Dryer, Washer, Refrigerators-Two, Stoves-Two",Forced Air-1,No,2,Yes,"Full, See Remarks",Yes,"Stucco, Vinyl","Back Lane, Fenced, Flat Site, Level Land, Paved Lane, Playground Nearby, Public Transportation, Schools, Shopping Nearby",Wood Frame,Concrete,,,,No,No,Courtesy Of Gil Whyte Of RE/MAX Elite,2,,,,,,,,,
"Unreal 4 level split with 2 kitchens! Beautiful curb appeal with mature trees, shrubs, paving stone walk-way and more! Huge square footage compared to most in the community and lovingly cared for by picky owners! Patterned hardwood, greets you as you enter. The bright living and dining room are set-up for entertaining. Walk down to a sunken kitchen with tons of cupboards, tiled flooring and a view of the gorgeus rear yard. A large den with a half vaulted ceiling leads to the covered deck, a perfect place for morning coffee! Upper floor has a 5 piece main bath featuring a double vanity plus 3 ample sized bedrooms. Base-Mint! Cook in the second kitchen with a 3 piece guest for convenince. Enjoy movie night in 2nd family/recroom. A sizeable 2nd den, crafting room, storage, and insuite laundry room complete the home. Backyard mimics the front yard, a pristine private oasis for the nature lover. Park in the over sized double detached garage. Impeccably clean and tidy.......See it you'll love this place!","$350,000",3,2.00,2,"1,507",0.15,1964,Single Family,Residential Detached Single Family,4 Level Split,13216 73 Street Nw,Edmonton,Delwood,,Edmonton,ALBERTA,AB,T5C 0T8,"Deck, Laundry-In-Suite, Patio",4,"Double Garage Detached, Parking Pad Cement or Paved",No,No,"Carpet, Ceramic Tile, Hardwood","Dishwasher-Built-In, Dryer, Oven-Microwave, Washer, Refrigerators-Two, Stoves-Two",Forced Air-1,No,4,Yes,"Full, Fully Finished",No,"Stucco, Vinyl","Back Lane, Fenced, Landscaped, Playground Nearby, Public Transportation, Schools, Shopping Nearby",Wood Frame,Concrete,Delwood,Balwin,M.E. Lazerte,No,No,Courtesy Of Ryan Dutka Of RE/MAX River City,3,2,,,,,,,,
"Great location! Just a short walk to Ritchie Market and Mill Creek Ravine, this RENOVATED bungalow in the wonderful community of Ritchie is sure to impress! Upon entry to the open concept layout you'll notice gorgeous vinyl plank floors leading from the bright living room to the kitchen. Plenty of countertop and cabinet space make cooking a breeze. Two large bedrooms and a 4pc bathroom complete the main floor. The basement of the homes features the third bedroom, a 3pc bathroom, laundry room and a huge family room perfect for entertaining guests! Fully fenced and landscaped back yard with raised deck allows you to enjoy all that summer has to offer. Large heated+insulated 7.13 × 7.04 garage completes the picture. Don't miss out on this great property!","$389,900",3,2.00,2,743,0.12,1948,Single Family,Residential Detached Single Family,Bungalow,9630 81 Avenue Nw,Edmonton,Ritchie,,Edmonton,ALBERTA,AB,T6C 0X7,"Deck, Detectors Smoke, No Smoking Home, See Remarks",,"Double Garage Detached, Heated, Insulated",No,No,"Carpet, Vinyl Plank","Dishwasher-Built-In, Dryer, Garage Control, Garage Opener, Microwave Hood Cover, Refrigerator, Stove-Electric, Washer",Forced Air-1,No,2,Yes,"Full, Fully Finished",No,Vinyl,"Fenced, Landscaped, Playground Nearby, Public Transportation, Schools, Shopping Nearby, See Remarks",Wood Frame,Concrete,Hazeldean School,Allendale School,Strathcona School,No,No,Courtesy Of Nikola Jankovic Of Royal Lepage Arteam Realty,2,2,7.13 × 7.04,,,,,,,
